NonFruit_Odor Data,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
,289,18,265,255,31,24,41
,275,17,238,234,31,24,41
,261,17,227,223,33,24,41
,296,18,255,259,32,24,41
,259,18,226,228,31,24,41
,288,19,250,248,31,24,41
,279,18,236,243,30,24,41
,271,17,226,237,32,24,41
,296,18,252,259,31,24,41
,256,19,234,229,31,24,41
,286,17,248,256,31,24,41
,271,17,238,238,31,24,41
,283,19,250,247,31,24,41
,276,17,236,241,33,24,41
,277,18,242,246,31,24,41
,273,18,236,233,31,24,41
,283,18,250,252,32,24,41
,256,18,231,232,31,24,41
,255,17,235,224,33,24,41
,272,18,237,241,31,24,41
,289,18,246,248,34,24,41
,299,18,253,249,29,24,41
,291,18,267,254,31,24,41
,288,18,243,252,34,24,41
,280,17,249,246,31,24,41
,273,18,241,242,31,24,41
,264,17,240,235,30,24,41
,264,20,236,239,31,24,41
,259,17,226,231,31,24,41
,260,20,230,227,31,24,41
,253,18,233,223,31,24,41
,278,18,241,244,29,24,41
,285,19,258,254,30,24,41
,263,18,226,229,31,24,41
,291,18,255,255,31,24,41
,258,18,227,231,30,24,41
,270,18,229,233,32,24,41
,276,20,241,238,31,24,41
,276,17,243,242,33,24,41
,281,19,246,243,30,24,41
,280,19,237,236,30,24,41
,250,18,225,221,30,24,41
,286,18,246,257,31,24,41
,277,18,248,248,33,24,41
,255,19,226,221,31,24,41
,282,17,254,249,31,24,41
,286,19,247,248,31,24,41
,265,19,239,240,33,24,41
,295,17,245,259,31,24,41
,261,20,220,234,29,24,41
,293,19,266,256,32,24,41
,251,19,230,223,31,24,41
,281,19,265,247,31,24,41
,274,19,239,239,31,24,41
,268,21,235,231,31,24,41
,296,18,248,252,31,24,41
,264,18,219,238,31,24,41
,280,20,240,244,31,24,41
,287,19,248,254,30,24,41
,260,17,232,233,30,24,41
,277,18,240,234,32,24,41
,296,20,256,268,30,24,41
,267,17,237,234,31,24,41
,258,18,229,227,30,24,41
,288,19,257,261,31,24,41
,265,19,240,235,31,24,41
,282,19,238,242,31,24,41
,283,19,245,253,31,24,41
,263,20,220,231,31,24,41
,296,18,249,265,31,24,41
,265,18,236,233,32,24,41
,276,17,242,237,31,24,41
,279,18,254,252,31,24,41
,262,19,232,224,31,24,41
,293,17,264,261,30,24,41
,270,20,232,231,31,24,41
,290,19,251,257,31,24,41
,275,19,235,240,31,24,41
,273,19,230,246,31,24,41
,285,17,246,249,31,24,41
,289,19,251,258,30,24,41
,269,18,240,231,33,24,41
,256,19,229,229,30,24,41
,268,19,228,243,31,24,41
,282,20,250,245,32,24,41
,294,18,249,255,31,24,41
,288,19,247,247,31,24,41
,263,20,233,239,31,24,41
,267,19,237,231,32,24,41
,279,20,242,247,32,24,41
,291,19,259,248,31,24,41
,291,18,251,263,30,24,41
,284,19,246,248,33,24,41
,294,18,250,258,32,24,41
,285,17,258,253,31,24,41
,282,19,263,246,31,24,41
,272,19,232,239,31,24,41
,264,20,232,223,31,24,41
,295,19,263,254,32,24,41
,279,20,242,247,31,24,41
,259,18,225,226,32,24,41
,281,17,242,238,31,24,41
,292,18,257,255,31,24,41
,281,19,247,247,30,24,41
,271,18,218,229,32,24,41
,279,19,238,242,31,24,41
,308,19,251,272,34,24,41
,257,18,226,230,32,24,41
,283,19,245,247,31,24,41
,291,18,246,254,31,24,41
,259,20,216,230,32,24,41
,264,17,216,231,31,24,41
,274,19,236,237,31,24,41
,279,19,240,244,33,24,41
,273,19,241,237,31,24,41
,264,17,230,224,31,24,41
,256,19,228,232,29,24,41
,282,19,246,248,31,24,41
,294,17,260,257,32,24,41
,276,22,239,240,31,24,41
,267,17,225,238,31,24,41
,303,18,252,264,31,24,41
,292,17,252,258,32,24,41
,268,19,231,228,32,24,41
,276,18,242,246,34,24,41
,290,19,247,249,31,24,41
,275,19,236,244,31,24,41
,268,17,237,239,31,24,41
,286,19,259,250,32,24,41
,252,17,234,218,29,24,41
,286,19,250,252,31,24,41
,263,19,222,227,31,24,41
,283,18,244,251,31,24,41
,290,19,254,250,31,24,41
,260,20,223,226,31,24,41
,271,18,244,246,32,24,41
,300,22,251,258,29,24,41
,290,19,248,253,31,24,41
,290,18,256,256,31,24,41
,281,19,237,244,32,24,41
,286,19,248,248,33,24,41
,280,19,245,247,30,24,41
,289,18,238,250,31,24,41
,278,19,246,244,31,24,41
,271,20,239,238,31,24,41
,273,19,240,232,31,24,41
,283,18,241,247,32,24,41
